"","business_id","stars","cat"
"0",108923,4,3
"1",108923,2,3
"2",108923,4,3
"3",108923,3,3
"4",108923,1,3
"5",108923,2,3
"6",108923,2,3
"7",115622,3,3
"8",115622,4,3
"9",115622,4,3
"10",115622,5,3
"11",115622,5,3
"12",115622,4,3
"13",192567,5,3
"14",192567,3,3
"15",192567,1,3
"16",192567,3,3
"17",192567,5,3
"18",192567,5,3
"19",192567,5,3
"20",192567,5,3
"21",192567,5,3
"22",192567,5,3
"23",101667,1,3
"24",101667,2,3
"25",101667,3,3
"26",101667,3,3
"27",101667,2,3
"28",101667,3,3
"29",101667,5,3
"30",101667,1,3
"31",101667,2,3
"32",101667,4,3
"33",101667,4,3
"34",101667,2,3
"35",144360,1,3
"36",144360,4,3
"37",144360,5,3
"38",144360,4,3
"39",144360,2,3
"40",144360,5,3
"41",144360,5,3
"42",144360,3,3
"43",54161,2,3
"44",54161,4,3
"45",54161,5,3
"46",119021,4,3
"47",119021,4,3
"48",119021,4,3
"49",119021,2,3
"50",119021,2,3
"51",119021,4,3
"52",119021,1,3
"53",119021,5,3
"54",150071,5,3
"55",150071,2,3
"56",150071,3,3
"57",150071,1,3
"58",150071,4,3
"59",149821,2,3
"60",149821,4,3
"61",149821,5,3
"62",149821,1,3
"63",119327,3,3
"64",119327,5,3
"65",119327,3,3
"66",119327,2,3
"67",119327,1,3
"68",119327,3,3
"69",119327,4,3
"70",65405,4,3
"71",65405,4,3
"72",65405,2,3
"73",65405,4,3
"74",178401,2,3
"75",178401,1,3
"76",178401,3,3
"77",178401,4,3
"78",178401,1,3
"79",178401,3,3
"80",178401,5,3
"81",29841,4,3
"82",29841,5,3
"83",29841,4,3
"84",29841,4,3
"85",29841,4,3
"86",29841,3,3
"87",149907,5,3
"88",149907,3,3
"89",149907,5,3
"90",149907,4,3
"91",175306,4,3
"92",175306,4,3
"93",175306,4,3
"94",175306,3,3
"95",175306,4,3
"96",135286,3,3
"97",135286,4,3
"98",135286,1,3
"99",135286,5,3
"100",135286,5,3
"101",135286,5,3
"102",42309,1,3
"103",42309,4,3
"104",42309,5,3
"105",42309,4,3
"106",42309,5,3
"107",192499,3,3
"108",192499,4,3
"109",192499,2,3
"110",192499,3,3
"111",192499,1,3
"112",98665,4,3
"113",98665,5,3
"114",98665,4,3
"115",98665,3,3
"116",98665,3,3
"117",98665,3,3
"118",176935,4,3
"119",176935,5,3
"120",176935,5,3
"121",176935,3,3
"122",176935,1,3
"123",176935,4,3
"124",176935,4,3
"125",176935,5,3
"126",176935,1,3
"127",87212,1,3
"128",87212,1,3
"129",87212,1,3
"130",87212,1,3
"131",87212,1,3
"132",87212,4,3
"133",87212,1,3
"134",87212,3,3
"135",73783,4,3
"136",73783,1,3
"137",73783,5,3
"138",93892,5,3
"139",93892,4,3
"140",93892,5,3
"141",93892,5,3
"142",93892,5,3
"143",148510,5,3
"144",148510,5,3
"145",148510,4,3
"146",148510,4,3
"147",148510,3,3
"148",136197,3,3
"149",136197,3,3
"150",136197,3,3
"151",66498,1,3
"152",66498,1,3
"153",66498,1,3
"154",66498,4,3
"155",66498,2,3
"156",66498,5,3
"157",66498,3,3
"158",66498,1,3
"159",66498,2,3
"160",66498,2,3
"161",66498,1,3
"162",66498,2,3
"163",66498,1,3
"164",66498,5,3
"165",66498,1,3
"166",66498,5,3
"167",66498,1,3
"168",66498,4,3
"169",66498,4,3
"170",66498,3,3
"171",66498,1,3
"172",67328,5,3
"173",67328,4,3
"174",67328,4,3
"175",67328,3,3
"176",67328,3,3
"177",67328,5,3
"178",67328,3,3
"179",67328,5,3
"180",67328,3,3
"181",67328,5,3
"182",67328,3,3
"183",67328,4,3
"184",67328,3,3
"185",168970,3,3
"186",168970,2,3
"187",168970,5,3
"188",168970,5,3
"189",168970,5,3
"190",168970,4,3
"191",168970,3,3
"192",168970,5,3
"193",168970,4,3
"194",115375,4,3
"195",115375,4,3
"196",115375,5,3
"197",115375,1,3
"198",115375,5,3
"199",115375,2,3
"200",183849,1,3
"201",183849,1,3
"202",183849,4,3
"203",183849,3,3
"204",26302,3,3
"205",26302,4,3
"206",26302,3,3
"207",26302,3,3
"208",26302,2,3
"209",118761,4,3
"210",118761,5,3
"211",118761,3,3
"212",118761,4,3
"213",118761,4,3
"214",118761,3,3
"215",118761,2,3
"216",118761,4,3
"217",118761,4,3
"218",134948,2,3
"219",134948,5,3
"220",134948,5,3
"221",134948,5,3
"222",134948,3,3
"223",134948,3,3
"224",134948,1,3
"225",134948,5,3
"226",134948,2,3
"227",134948,4,3
"228",134948,5,3
"229",134948,5,3
"230",134948,2,3
"231",134948,1,3
"232",134948,2,3
"233",134948,3,3
"234",134948,1,3
"235",38713,5,3
"236",38713,5,3
"237",38713,4,3
"238",38713,3,3
"239",25937,5,3
"240",25937,5,3
"241",25937,5,3
"242",25937,5,3
"243",25937,5,3
"244",73448,5,3
"245",73448,2,3
"246",73448,4,3
"247",73448,1,3
"248",67907,1,3
"249",67907,1,3
"250",67907,3,3
"251",67907,2,3
"252",67907,1,3
"253",67907,4,3
"254",67907,5,3
"255",67907,2,3
"256",114000,4,3
"257",114000,1,3
"258",114000,4,3
"259",170750,1,3
"260",170750,4,3
"261",170750,2,3
"262",170750,5,3
"263",170750,4,3
"264",93253,5,3
"265",93253,5,3
"266",93253,2,3
"267",93253,1,3
"268",93253,2,3
"269",93253,1,3
"270",93253,4,3
"271",93253,1,3
"272",93253,3,3
"273",10193,5,3
"274",10193,4,3
"275",10193,4,3
"276",10193,4,3
"277",10193,4,3
"278",14524,5,3
"279",14524,5,3
"280",14524,3,3
"281",60724,4,3
"282",60724,1,3
"283",60724,4,3
"284",60724,4,3
"285",60724,5,3
"286",60724,4,3
"287",60724,3,3
"288",58052,2,3
"289",58052,1,3
"290",58052,1,3
"291",36676,5,3
"292",36676,4,3
"293",36676,2,3
"294",36676,3,3
"295",36676,3,3
"296",36676,3,3
"297",36676,5,3
"298",36676,3,3
"299",36676,3,3
"300",36676,3,3
"301",36676,5,3
"302",36676,1,3
"303",36676,3,3
"304",36676,1,3
"305",36676,2,3
"306",36676,2,3
"307",36676,5,3
"308",36676,4,3
"309",36676,5,3
"310",24984,4,3
"311",24984,4,3
"312",24984,5,3
"313",24984,5,3
"314",102049,4,3
"315",102049,3,3
"316",102049,4,3
"317",16150,4,3
"318",16150,4,3
"319",16150,4,3
"320",16150,3,3
"321",81615,5,3
"322",81615,2,3
"323",81615,2,3
"324",81615,2,3
"325",81615,3,3
"326",81615,1,3
"327",47348,1,3
"328",47348,4,3
"329",47348,2,3
"330",47348,5,3
"331",47348,3,3
"332",12196,4,3
"333",12196,4,3
"334",12196,3,3
"335",12196,4,3
"336",12196,4,3
"337",12196,4,3
"338",12196,5,3
"339",65509,5,3
"340",65509,3,3
"341",65509,1,3
"342",65509,3,3
"343",65509,2,3
"344",65509,1,3
"345",65509,4,3
"346",65509,2,3
"347",65509,5,3
"348",65509,2,3
"349",65509,2,3
"350",65509,1,3
"351",89956,1,3
"352",89956,3,3
"353",89956,1,3
"354",89956,2,3
"355",89956,1,3
"356",89956,2,3
"357",89956,3,3
"358",89956,3,3
"359",89956,3,3
"360",89956,2,3
"361",89956,3,3
"362",89956,1,3
"363",89956,3,3
"364",89956,2,3
"365",89956,4,3
"366",89956,1,3
"367",89956,2,3
"368",89956,2,3
"369",89956,3,3
"370",89956,1,3
"371",89956,1,3
"372",89956,3,3
"373",89956,4,3
"374",89956,1,3
"375",89956,1,3
"376",89956,4,3
"377",89956,3,3
"378",89956,1,3
"379",89956,5,3
"380",89956,3,3
"381",89956,1,3
"382",41114,1,3
"383",41114,3,3
"384",41114,3,3
"385",41114,3,3
"386",41114,5,3
"387",41114,1,3
"388",41114,2,3
"389",117863,4,3
"390",117863,3,3
"391",117863,4,3
"392",117863,5,3
"393",117863,4,3
"394",117863,5,3
"395",117863,3,3
"396",117863,4,3
"397",117863,5,3
"398",117863,3,3
"399",117863,5,3
"400",117863,5,3
"401",117863,4,3
"402",117863,3,3
"403",54765,5,3
"404",54765,1,3
"405",54765,5,3
"406",54765,5,3
"407",54765,5,3
"408",54765,4,3
"409",54765,3,3
"410",54765,3,3
"411",54765,2,3
"412",54765,5,3
"413",83707,2,3
"414",83707,3,3
"415",83707,4,3
"416",108639,1,3
"417",108639,4,3
"418",108639,1,3
"419",108639,1,3
"420",108639,4,3
"421",180970,3,3
"422",180970,1,3
"423",180970,4,3
"424",54936,5,3
"425",54936,3,3
"426",54936,1,3
"427",54936,4,3
"428",54936,5,3
"429",66557,4,3
"430",66557,1,3
"431",66557,5,3
"432",66557,1,3
"433",66557,5,3
"434",66557,4,3
"435",66557,3,3
"436",164031,4,3
"437",164031,5,3
"438",164031,4,3
"439",60809,5,3
"440",60809,5,3
"441",60809,4,3
"442",60809,3,3
"443",36160,3,3
"444",36160,3,3
"445",36160,5,3
"446",127430,4,3
"447",127430,5,3
"448",127430,3,3
"449",127430,3,3
"450",120652,3,3
"451",120652,1,3
"452",120652,4,3
"453",120652,1,3
"454",120652,3,3
"455",180288,4,3
"456",180288,3,3
"457",180288,4,3
"458",180288,1,3
"459",87948,5,3
"460",87948,5,3
"461",87948,4,3
"462",87948,4,3
"463",87948,4,3
"464",87948,1,3
"465",87948,3,3
"466",87948,3,3
"467",125363,4,3
"468",125363,3,3
"469",125363,2,3
"470",125363,5,3
"471",125363,1,3
"472",125363,1,3
"473",125363,3,3
"474",125363,1,3
"475",125363,4,3
"476",125363,1,3
"477",125363,4,3
"478",130486,1,3
"479",130486,5,3
"480",130486,3,3
"481",139416,2,3
"482",139416,2,3
"483",139416,5,3
"484",139416,4,3
"485",92330,1,3
"486",92330,2,3
"487",92330,5,3
"488",92330,3,3
"489",119601,4,3
"490",119601,1,3
"491",119601,1,3
"492",119601,2,3
"493",119601,2,3
"494",119601,1,3
"495",119601,5,3
"496",119601,2,3
"497",119601,3,3
"498",119601,3,3
"499",162839,4,3
"500",162839,3,3
"501",162839,3,3
"502",162839,3,3
"503",162839,5,3
"504",162839,5,3
"505",162839,4,3
"506",162839,5,3
"507",162839,5,3
"508",162839,3,3
"509",162839,5,3
"510",20172,1,3
"511",20172,1,3
"512",20172,1,3
"513",184583,4,3
"514",184583,1,3
"515",184583,2,3
"516",184583,5,3
"517",184583,2,3
"518",184583,2,3
"519",184583,3,3
"520",157226,5,3
"521",157226,2,3
"522",157226,2,3
"523",157226,1,3
"524",157226,2,3
"525",30453,1,3
"526",30453,5,3
"527",30453,4,3
"528",145269,3,3
"529",145269,1,3
"530",145269,3,3
"531",145269,4,3
"532",145269,4,3
"533",105793,4,3
"534",105793,3,3
"535",105793,5,3
"536",105793,5,3
"537",105793,1,3
"538",105793,4,3
"539",57882,2,3
"540",57882,1,3
"541",57882,4,3
"542",57882,5,3
"543",57882,4,3
"544",57882,4,3
"545",57882,5,3
"546",57882,4,3
"547",9476,4,3
"548",9476,3,3
"549",9476,5,3
"550",9476,4,3
"551",113215,5,3
"552",113215,4,3
"553",113215,5,3
"554",113215,5,3
"555",113215,1,3
"556",113215,1,3
"557",113215,1,3
"558",24180,3,3
"559",24180,2,3
"560",24180,2,3
"561",24180,5,3
"562",24180,1,3
"563",24180,3,3
"564",1248,3,3
"565",1248,1,3
"566",1248,1,3
"567",1248,3,3
"568",1248,3,3
"569",1248,3,3
"570",1248,3,3
"571",1248,1,3
"572",130777,3,3
"573",130777,3,3
"574",130777,1,3
"575",130777,4,3
"576",130777,3,3
"577",130777,2,3
"578",130777,5,3
"579",120413,5,3
"580",120413,1,3
"581",120413,3,3
"582",55399,3,3
"583",55399,3,3
"584",55399,2,3
"585",55399,4,3
"586",55399,3,3
"587",2104,4,3
"588",2104,5,3
"589",2104,4,3
"590",2104,5,3
"591",69400,5,3
"592",69400,4,3
"593",69400,1,3
"594",136967,1,3
"595",136967,5,3
"596",136967,4,3
"597",136967,5,3
"598",58431,1,3
"599",58431,1,3
"600",58431,2,3
"601",171273,4,3
"602",171273,1,3
"603",171273,4,3
"604",171273,2,3
"605",171273,3,3
"606",171273,4,3
"607",171273,5,3
"608",171273,3,3
"609",171273,4,3
"610",171273,4,3
"611",110182,4,3
"612",110182,2,3
"613",110182,4,3
"614",110182,4,3
"615",110182,3,3
"616",110182,4,3
"617",164237,4,3
"618",164237,4,3
"619",164237,4,3
"620",164237,4,3
"621",113497,3,3
"622",113497,1,3
"623",113497,1,3
"624",113497,1,3
"625",113497,1,3
"626",108701,5,3
"627",108701,1,3
"628",108701,1,3
"629",108701,4,3
"630",108701,1,3
"631",108701,5,3
"632",108701,2,3
"633",108701,1,3
"634",108701,5,3
"635",6869,2,3
"636",6869,3,3
"637",6869,2,3
"638",6869,3,3
"639",6869,3,3
"640",152304,4,3
"641",152304,2,3
"642",152304,5,3
"643",152304,1,3
"644",131514,4,3
"645",131514,4,3
"646",131514,3,3
"647",131514,2,3
"648",131514,5,3
"649",131514,5,3
"650",131514,3,3
"651",178487,5,3
"652",178487,4,3
"653",178487,2,3
"654",178487,3,3
"655",178487,3,3
"656",178487,4,3
"657",178487,1,3
"658",184208,5,3
"659",184208,2,3
"660",184208,3,3
"661",184208,3,3
"662",184208,1,3
"663",184208,5,3
"664",184208,4,3
"665",184208,3,3
"666",184208,3,3
"667",184208,3,3
"668",184208,4,3
"669",184208,3,3
"670",184208,3,3
"671",184208,2,3
"672",169600,5,3
"673",169600,2,3
"674",169600,3,3
"675",68162,3,3
"676",68162,4,3
"677",68162,4,3
"678",68162,2,3
"679",68162,3,3
"680",68162,4,3
"681",68162,3,3
"682",68162,2,3
"683",68162,5,3
"684",68162,2,3
"685",68162,4,3
"686",68162,2,3
"687",46768,3,3
"688",46768,1,3
"689",46768,4,3
"690",32470,2,3
"691",32470,3,3
"692",32470,3,3
"693",32470,3,3
"694",60961,5,3
"695",60961,4,3
"696",60961,2,3
"697",60961,3,3
"698",60961,4,3
"699",60961,4,3
"700",60961,2,3
"701",60961,5,3
"702",77588,2,3
"703",77588,4,3
"704",77588,2,3
"705",77588,2,3
"706",77588,3,3
"707",77588,4,3
"708",77588,5,3
"709",77588,1,3
"710",77588,4,3
"711",77588,2,3
"712",77588,1,3
"713",81212,1,3
"714",81212,1,3
"715",81212,1,3
"716",81212,3,3
"717",81212,5,3
"718",156357,1,3
"719",156357,2,3
"720",156357,2,3
"721",156357,3,3
"722",156357,1,3
"723",156357,2,3
"724",156357,3,3
"725",156357,4,3
"726",156357,3,3
"727",156357,1,3
"728",156357,5,3
"729",156357,3,3
"730",156357,3,3
"731",146704,5,3
"732",146704,5,3
"733",146704,3,3
"734",139030,2,3
"735",139030,5,3
"736",139030,2,3
"737",139030,2,3
"738",139030,4,3
"739",139030,5,3
"740",139030,3,3
"741",139030,3,3
"742",139030,5,3
"743",37776,3,3
"744",37776,4,3
"745",37776,5,3
"746",37776,1,3
"747",37776,5,3
"748",37776,2,3
"749",37776,3,3
"750",37776,2,3
"751",105820,4,3
"752",105820,3,3
"753",105820,5,3
"754",105820,5,3
"755",105820,3,3
"756",105820,3,3
"757",105820,1,3
"758",105820,5,3
"759",105820,4,3
"760",146530,2,3
"761",146530,1,3
"762",146530,1,3
"763",146530,5,3
"764",146530,3,3
"765",76894,1,3
"766",76894,2,3
"767",76894,3,3
"768",76894,3,3
"769",76894,1,3
"770",76894,1,3
"771",76894,4,3
"772",76894,1,3
"773",140270,1,3
"774",140270,1,3
"775",140270,5,3
"776",140270,3,3
"777",140270,2,3
"778",140270,4,3
"779",140270,1,3
"780",140270,3,3
"781",140270,1,3
"782",140270,1,3
"783",140270,1,3
"784",140270,4,3
"785",140270,1,3
"786",140270,1,3
"787",140270,4,3
"788",140270,5,3
"789",140270,3,3
"790",140270,3,3
"791",140270,3,3
"792",140270,4,3
"793",140270,5,3
"794",140270,3,3
"795",140270,3,3
"796",140270,1,3
"797",140270,4,3
"798",140270,3,3
"799",140270,5,3
"800",101800,2,3
"801",101800,1,3
"802",101800,2,3
"803",101800,4,3
"804",101800,5,3
"805",139769,3,3
"806",139769,4,3
"807",139769,5,3
"808",139769,4,3
"809",139769,3,3
"810",139769,4,3
"811",139769,5,3
"812",139769,5,3
"813",139769,4,3
"814",75610,4,3
"815",75610,4,3
"816",75610,5,3
"817",75610,1,3
"818",75610,3,3
"819",75610,3,3
"820",75610,5,3
"821",75610,2,3
"822",75610,4,3
"823",135797,1,3
"824",135797,2,3
"825",135797,3,3
"826",135797,2,3
"827",184092,5,3
"828",184092,2,3
"829",184092,1,3
"830",184092,1,3
"831",185859,1,3
"832",185859,4,3
"833",185859,5,3
"834",185859,4,3
"835",185859,4,3
"836",185859,3,3
"837",185859,1,3
"838",185859,2,3
"839",44953,2,3
"840",44953,1,3
"841",44953,1,3
"842",44953,1,3
"843",44953,1,3
"844",44953,5,3
"845",44953,4,3
"846",44953,3,3
"847",108488,5,3
"848",108488,5,3
"849",108488,5,3
"850",108488,5,3
"851",108488,3,3
"852",98634,4,3
"853",98634,5,3
"854",98634,1,3
"855",98634,2,3
"856",98634,1,3
"857",98634,2,3
"858",98634,5,3
"859",166305,4,3
"860",166305,4,3
"861",166305,5,3
"862",166305,5,3
"863",166305,4,3
"864",166305,4,3
"865",153403,1,3
"866",153403,4,3
"867",153403,1,3
"868",153403,5,3
"869",153403,2,3
"870",153403,1,3
"871",160242,5,3
"872",160242,4,3
