business_id,latitude,longitude
64799,51.0168614,-114.0451308
110519,51.1562387,-114.1582006
29387,50.9923711,-113.9606836
5808,51.12411752,-114.2487672
46714,51.0523513,-114.0935404
88430,51.16825706,-114.0895688
154160,51.102777,-114.062825
24772,51.0469083,-114.0815649
146556,50.88028704,-113.9781842
154489,51.02074,-114.14338899999998
61550,51.08102079,-114.0062336
150541,50.96687128,-114.0732364
63752,33.6388214,-112.3997883
184537,33.60136,-112.28753799999998
86013,33.5814942,-112.15194
84773,33.484027000000005,-112.363106
87704,33.28559589,-111.787576
35283,33.59857719,-111.9784468
1667,33.3904087,-111.6900874
23959,33.3954256,-111.6841917
68568,33.419298100000006,-111.9402206
20691,33.7988514,-111.9305908
125888,33.44820769,-112.0747094
94147,33.5745565,-111.71637520000002
43959,33.307342,-111.873993
128328,33.4567713,-112.2735726
129721,33.340509999999995,-111.842792
102406,33.536874,-112.0990788
148291,33.3509714,-111.9610056
90962,33.4347926,-111.6322095
93652,33.414116,-111.872118
18087,33.4081326,-111.87395259999998
192187,33.3932482,-111.9770632
17138,33.4954691,-111.9881878
106671,33.303505300000005,-111.99869
55489,33.581388000000004,-112.123171
160148,33.59941891,-111.9892553
55803,33.3990049,-112.0724706
14935,33.636529,-112.23077
128839,33.698789,-112.141737
69221,33.3806233,-111.8365505
151520,33.47944663,-111.9092974
94157,33.6392426,-112.1517913
35752,33.365913,-111.859575
26761,33.2801262,-111.7954553
30782,33.5667741,-112.10245559999998
16462,33.5555964,-112.133732
116495,33.404601799999995,-111.9791426
88851,33.4660821,-112.2213566
95306,33.3772505,-112.0298918
157481,33.61089284,-112.3599293
14197,33.638619,-111.97845
114834,33.70025149,-111.9246929
56768,33.41595285,-111.6980507
129122,33.5247189,-112.1095327
135444,33.26111916,-111.8598771
103348,33.3947794,-111.9085598
29272,33.6978864,-111.8884967
112007,33.4363856,-111.6849412
104080,33.394867,-111.939097
150397,33.5671829,-112.1681244
86723,33.6186393,-111.89630990000002
137977,33.6120911,-112.18349340000002
160034,33.478939399999994,-112.0467987
172105,33.3799224,-111.687266
79317,33.30448672,-111.7414642
28690,33.8442826,-112.1320767
23907,33.43635956,-111.6849865
114411,33.564437,-112.2877381
160473,33.53840457,-112.183517
17630,33.422024300000004,-111.7369657
94289,33.33639,-111.757429
138808,33.6205753,-111.8921179
45643,33.37777835,-111.7534865
18323,33.46631739,-111.9850759
167159,33.45458161,-111.6840187
57924,33.5104853,-112.134778
47848,33.43425485,-111.9254068
44934,33.4339319,-112.3046247
16777,33.538927,-112.048079
