,business_id,stars
0,173463,1.0
1,173463,1.0
2,173463,2.0
3,173463,1.0
4,14859,1.0
5,14859,1.0
6,14859,5.0
7,14859,1.0
8,14859,1.0
9,14859,2.0
10,64109,3.0
11,64109,2.0
12,64109,2.0
13,77221,4.0
14,77221,1.0
15,77221,1.0
16,77221,2.0
17,40356,1.0
18,40356,4.0
19,40356,1.0
20,40356,3.0
21,40356,5.0
22,75009,2.0
23,75009,1.0
24,75009,3.0
25,75009,1.0
26,75009,5.0
27,176601,2.0
28,176601,2.0
29,176601,1.0
30,176601,1.0
31,176601,5.0
32,176601,5.0
33,176601,3.0
34,176601,3.0
35,135683,2.0
36,135683,5.0
37,135683,3.0
38,128970,1.0
39,128970,1.0
40,128970,1.0
41,12101,3.0
42,12101,4.0
43,12101,3.0
44,12101,1.0
45,12101,3.0
46,135801,5.0
47,135801,1.0
48,135801,4.0
49,9964,3.0
50,9964,1.0
51,9964,1.0
52,9964,1.0
53,9964,4.0
54,95799,1.0
55,95799,1.0
56,95799,1.0
57,95799,1.0
58,95799,3.0
59,87221,1.0
60,87221,1.0
61,87221,5.0
62,87221,1.0
63,87221,1.0
64,87221,1.0
65,87221,3.0
66,87221,1.0
67,87221,1.0
68,144471,1.0
69,144471,2.0
70,144471,3.0
71,144471,2.0
72,147545,1.0
73,147545,4.0
74,147545,3.0
75,147545,5.0
76,147545,2.0
77,147545,2.0
78,147545,3.0
79,147545,1.0
80,23861,1.0
81,23861,2.0
82,23861,5.0
83,23861,5.0
84,52134,1.0
85,52134,1.0
86,52134,3.0
87,123906,2.0
88,123906,5.0
89,123906,2.0
90,167367,1.0
91,167367,4.0
92,167367,1.0
93,167367,2.0
94,167367,1.0
95,167367,1.0
96,102990,1.0
97,102990,1.0
98,102990,1.0
99,102990,3.0
100,102990,1.0
101,102990,4.0
102,143464,4.0
103,143464,1.0
104,143464,1.0
105,143464,4.0
106,80349,4.0
107,80349,5.0
108,80349,5.0
109,80349,4.0
110,80349,4.0
111,80349,3.0
112,80349,1.0
113,100890,4.0
114,100890,4.0
115,100890,2.0
116,100890,4.0
117,100890,3.0
118,83897,1.0
119,83897,3.0
120,83897,3.0
121,153111,1.0
122,153111,1.0
123,153111,3.0
124,153111,1.0
125,153111,2.0
126,153111,1.0
127,153111,3.0
128,153111,5.0
129,153111,4.0
130,81122,3.0
131,81122,3.0
132,81122,4.0
133,81122,1.0
134,81122,5.0
135,81122,5.0
136,63057,1.0
137,63057,4.0
138,63057,4.0
139,153600,1.0
140,153600,1.0
141,153600,1.0
142,19203,1.0
143,19203,1.0
144,19203,4.0
145,19203,1.0
146,19203,1.0
147,19203,1.0
148,19203,1.0
149,117311,1.0
150,117311,1.0
151,117311,4.0
152,117311,5.0
153,117311,1.0
154,117311,1.0
155,117311,4.0
156,117311,1.0
157,117311,1.0
158,117311,2.0
159,117311,1.0
160,117311,1.0
161,69877,2.0
162,69877,1.0
163,69877,3.0
164,69997,4.0
165,69997,1.0
166,69997,4.0
167,69997,2.0
168,69997,1.0
169,69997,1.0
170,69997,1.0
171,69997,1.0
172,157247,1.0
173,157247,4.0
174,157247,2.0
175,142601,3.0
176,142601,3.0
177,142601,3.0
178,142601,3.0
179,142601,4.0
180,142601,3.0
181,33778,1.0
182,33778,5.0
183,33778,2.0
184,33778,3.0
185,177411,2.0
186,177411,5.0
187,177411,1.0
188,177411,1.0
189,66242,1.0
190,66242,2.0
191,66242,1.0
192,66242,1.0
193,66242,2.0
194,66242,3.0
195,66242,1.0
196,66242,1.0
197,66242,4.0
198,66242,3.0
199,130023,1.0
200,130023,1.0
201,130023,4.0
202,57130,3.0
203,57130,1.0
204,57130,5.0
205,57130,1.0
206,57130,4.0
207,57130,1.0
208,57130,3.0
209,57130,1.0
210,1386,1.0
211,1386,1.0
212,1386,1.0
213,1386,1.0
214,1386,1.0
215,1386,3.0
216,1386,5.0
217,104492,1.0
218,104492,2.0
219,104492,1.0
220,104492,1.0
221,109389,4.0
222,109389,5.0
223,109389,1.0
224,109389,2.0
225,168581,2.0
226,168581,3.0
227,168581,1.0
228,168581,3.0
229,168581,1.0
230,168581,3.0
231,168581,2.0
232,168581,1.0
233,168581,1.0
234,168581,1.0
235,168581,3.0
236,168581,1.0
237,168581,3.0
238,169801,4.0
239,169801,3.0
240,169801,4.0
241,169801,3.0
242,169801,4.0
243,169801,4.0
244,169801,3.0
245,169801,4.0
246,169801,5.0
247,169801,1.0
248,169801,2.0
249,169801,5.0
250,169801,3.0
251,169801,4.0
252,169801,4.0
253,169801,4.0
254,169801,3.0
255,169801,5.0
256,169801,5.0
257,105598,1.0
258,105598,2.0
259,105598,5.0
260,36800,2.0
261,36800,1.0
262,36800,1.0
263,36800,1.0
264,36800,1.0
265,36800,5.0
266,36800,1.0
267,36800,3.0
268,36800,1.0
269,36800,1.0
270,36800,1.0
271,36800,2.0
272,36800,1.0
273,125820,4.0
274,125820,2.0
275,125820,4.0
276,190374,3.0
277,190374,3.0
278,190374,1.0
279,104095,4.0
280,104095,1.0
281,104095,1.0
282,104095,1.0
283,104095,1.0
284,134106,3.0
285,134106,1.0
286,134106,2.0
287,134106,1.0
288,134106,4.0
289,134106,1.0
290,134106,1.0
291,134106,1.0
292,134106,1.0
293,134106,1.0
294,134106,1.0
295,134106,1.0
296,134106,1.0
297,134106,3.0
298,134106,1.0
299,134106,4.0
300,134106,3.0
301,134106,1.0
302,134106,1.0
303,134106,2.0
304,134106,1.0
305,134106,1.0
306,134106,1.0
307,134106,1.0
308,134106,1.0
309,134106,1.0
310,134106,2.0
311,120133,4.0
312,120133,3.0
313,120133,1.0
314,173714,4.0
